site_code year month day hour minute second time_decimal value value_std_dev nvalue latitude longitude altitude elevation intake_height qcflag,year ,month,day ,hour ,minute ,second, time_decimal,value,value_std_dev ,nvalue,latitude,longitude altitude elevation intake_height qcflag,altitude, elevation ,intake_height ,qcflag
BRW,1973,1,1,0,0,0,1973,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,2,1,0,0,0,1973.084932,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,3,1,0,0,0,1973.161644,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,4,1,0,0,0,1973.246575,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,5,1,0,0,0,1973.328767,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,6,1,0,0,0,1973.413699,-999.99,-99.99,0,71.323,-156.611,27,11,16,*..
BRW,1973,7,1,0,0,0,1973.49589,324.55,0.38,5,71.323,-156.611,27,11,16,...
BRW,1973,8,1,0,0,0,1973.580822,322.73,0.84,23,71.323,-156.611,27,11,16,...
BRW,1973,9,1,0,0,0,1973.665753,324.72,1.8,28,71.323,-156.611,27,11,16,...
BRW,1973,10,1,0,0,0,1973.747945,329.88,2.77,29,71.323,-156.611,27,11,16,...
BRW,1973,11,1,0,0,0,1973.832877,333.61,0.77,27,71.323,-156.611,27,11,16,...
BRW,1973,12,1,0,0,0,1973.915068,334.6,1.6,30,71.323,-156.611,27,11,16,...
BRW,1974,1,1,0,0,0,1974,337.51,1.35,20,71.323,-156.611,27,11,16,...
BRW,1974,2,1,0,0,0,1974.084932,336.87,0.77,19,71.323,-156.611,27,11,16,...
BRW,1974,3,1,0,0,0,1974.161644,337.47,0.36,29,71.323,-156.611,27,11,16,...
BRW,1974,4,1,0,0,0,1974.246575,337.88,0.29,15,71.323,-156.611,27,11,16,...
BRW,1974,5,1,0,0,0,1974.328767,337.7,0.27,29,71.323,-156.611,27,11,16,...
BRW,1974,6,1,0,0,0,1974.413699,336.79,0.74,29,71.323,-156.611,27,11,16,...
BRW,1974,7,1,0,0,0,1974.49589,332.44,2.47,23,71.323,-156.611,27,11,16,...
BRW,1974,8,1,0,0,0,1974.580822,324.29,0.84,21,71.323,-156.611,27,11,16,...
BRW,1974,9,1,0,0,0,1974.665753,325.16,1.44,23,71.323,-156.611,27,11,16,...
BRW,1974,10,1,0,0,0,1974.747945,329.72,1.97,29,71.323,-156.611,27,11,16,...
BRW,1974,11,1,0,0,0,1974.832877,332.95,1.12,28,71.323,-156.611,27,11,16,...
BRW,1974,12,1,0,0,0,1974.915068,336.04,1.5,30,71.323,-156.611,27,11,16,...
BRW,1975,1,1,0,0,0,1975,337.63,0.72,30,71.323,-156.611,27,11,16,...
BRW,1975,2,1,0,0,0,1975.084932,337.83,1.63,16,71.323,-156.611,27,11,16,...
BRW,1975,3,1,0,0,0,1975.161644,338.01,0.41,26,71.323,-156.611,27,11,16,...
BRW,1975,4,1,0,0,0,1975.246575,338.61,0.34,30,71.323,-156.611,27,11,16,...
BRW,1975,5,1,0,0,0,1975.328767,338.92,0.7,11,71.323,-156.611,27,11,16,...
BRW,1975,6,1,0,0,0,1975.413699,336.23,0.96,27,71.323,-156.611,27,11,16,...
BRW,1975,7,1,0,0,0,1975.49589,329.04,1.36,14,71.323,-156.611,27,11,16,...
BRW,1975,8,1,0,0,0,1975.580822,324.37,1.96,23,71.323,-156.611,27,11,16,...
BRW,1975,9,1,0,0,0,1975.665753,324.34,1.82,25,71.323,-156.611,27,11,16,...
BRW,1975,10,1,0,0,0,1975.747945,328.57,1.45,27,71.323,-156.611,27,11,16,...
BRW,1975,11,1,0,0,0,1975.832877,333.71,1.33,22,71.323,-156.611,27,11,16,...
BRW,1975,12,1,0,0,0,1975.915068,335.96,0.76,27,71.323,-156.611,27,11,16,...
BRW,1976,1,1,0,0,0,1976,336.42,1.31,25,71.323,-156.611,27,11,16,...
BRW,1976,2,1,0,0,0,1976.084699,336.08,0.47,10,71.323,-156.611,27,11,16,...
BRW,1976,3,1,0,0,0,1976.163934,337.14,0.6,13,71.323,-156.611,27,11,16,...
BRW,1976,4,1,0,0,0,1976.248634,337.43,0.45,9,71.323,-156.611,27,11,16,...
BRW,1976,5,1,0,0,0,1976.330601,336.71,2.36,29,71.323,-156.611,27,11,16,...
BRW,1976,6,1,0,0,0,1976.415301,336.21,0.36,28,71.323,-156.611,27,11,16,...
BRW,1976,7,1,0,0,0,1976.497268,331.07,2.72,28,71.323,-156.611,27,11,16,...
BRW,1976,8,1,0,0,0,1976.581967,323.69,1.4,22,71.323,-156.611,27,11,16,...
BRW,1976,9,1,0,0,0,1976.666667,325.02,1.6,25,71.323,-156.611,27,11,16,...
BRW,1976,10,1,0,0,0,1976.748634,329.73,1.91,26,71.323,-156.611,27,11,16,...
BRW,1976,11,1,0,0,0,1976.833333,334.02,1.33,30,71.323,-156.611,27,11,16,...
BRW,1976,12,1,0,0,0,1976.915301,336.51,0.85,28,71.323,-156.611,27,11,16,...
BRW,1977,1,1,0,0,0,1977,336.84,0.92,31,71.323,-156.611,27,11,16,...
BRW,1977,2,1,0,0,0,1977.084932,336.85,0.67,24,71.323,-156.611,27,11,16,...
BRW,1977,3,1,0,0,0,1977.161644,338.23,0.84,30,71.323,-156.611,27,11,16,...
BRW,1977,4,1,0,0,0,1977.246575,339.15,0.5,29,71.323,-156.611,27,11,16,...
BRW,1977,5,1,0,0,0,1977.328767,339.43,0.32,30,71.323,-156.611,21,11,10,...
BRW,1977,6,1,0,0,0,1977.413699,337.83,0.83,30,71.323,-156.611,21,11,10,...
BRW,1977,7,1,0,0,0,1977.49589,330.11,3.16,31,71.323,-156.611,21,11,10,...
BRW,1977,8,1,0,0,0,1977.580822,325.65,1.1,22,71.323,-156.611,21,11,10,...
BRW,1977,9,1,0,0,0,1977.665753,327.5,2.16,28,71.323,-156.611,21,11,10,...
BRW,1977,10,1,0,0,0,1977.747945,332.04,1.48,31,71.323,-156.611,21,11,10,...
BRW,1977,11,1,0,0,0,1977.832877,334.79,2.07,29,71.323,-156.611,21,11,10,...
BRW,1977,12,1,0,0,0,1977.915068,338.86,1.31,29,71.323,-156.611,21,11,10,...
BRW,1978,1,1,0,0,0,1978,339.29,1.03,29,71.323,-156.611,21,11,10,...
