system:time_start,undefined
1-Jan-85,279.594
1-Feb-85,281.823
1-Mar-85,280.446
1-Apr-85,289.484
1-May-85,290.359
1-Jun-85,298.397
1-Jul-85,300.186
1-Aug-85,298.702
1-Sep-85,290.987
1-Oct-85,288.992
1-Nov-85,280.014
1-Dec-85,281.47
1-Jan-86,283.346
1-Feb-86,281.072
1-Mar-86,284.893
1-Apr-86,285.629
1-May-86,291.182
1-Jun-86,296.848
1-Jul-86,297.754
1-Aug-86,300.305
1-Sep-86,290.303
1-Oct-86,289.122
1-Nov-86,285.626
1-Dec-86,281.296
1-Jan-87,278.304
1-Feb-87,280.364
1-Mar-87,281.637
1-Apr-87,290.203
1-May-87,291.227
1-Jun-87,297.411
1-Jul-87,296.919
1-Aug-87,299.859
1-Sep-87,296.938
1-Oct-87,292.06
1-Nov-87,282.221
1-Dec-87,276.574
1-Jan-88,279.353
1-Feb-88,284.518
1-Mar-88,285.174
1-Apr-88,286.16
1-May-88,289.896
1-Jun-88,295.278
1-Jul-88,301.41
1-Aug-88,299.754
1-Sep-88,296.812
1-Oct-88,294.471
1-Nov-88,281.648
1-Dec-88,279.13
1-Jan-89,279.274
1-Feb-89,278.206
1-Mar-89,282.895
1-Apr-89,289.535
1-May-89,289.949
1-Jun-89,295.392
1-Jul-89,300.033
1-Aug-89,297.415
1-Sep-89,294.311
1-Oct-89,288.59
1-Nov-89,286.036
1-Dec-89,284.215
1-Jan-90,279.73
1-Feb-90,279.275
1-Mar-90,284.314
1-Apr-90,288.178
1-May-90,288.788
1-Jun-90,295.57
1-Jul-90,299.669
1-Aug-90,297.859
1-Sep-90,295.638
1-Oct-90,291.866
1-Nov-90,284.74
1-Dec-90,278.249
1-Jan-91,281.715
1-Feb-91,285.461
1-Mar-91,278.274
1-Apr-91,284.629
1-May-91,287.133
1-Jun-91,293.812
1-Jul-91,299.947
1-Aug-91,297.969
1-Sep-91,298.01
1-Oct-91,292.214
1-Nov-91,284.638
1-Dec-91,281.496
1-Jan-92,281.463
1-Feb-92,281.338
1-Mar-92,283.203
1-Apr-92,289.302
1-May-92,294.663
1-Jun-92,294.368
1-Jul-92,297.776
1-Aug-92,299.904
1-Sep-92,296.944
1-Oct-92,291.042
1-Nov-92,283.602
1-Dec-92,277.291
1-Jan-93,277.433
1-Feb-93,277.988
1-Mar-93,284.865
1-Apr-93,285.734
1-May-93,290.183
1-Jun-93,293.773
1-Jul-93,297.546
1-Aug-93,297.619
1-Sep-93,296.624
1-Oct-93,289.572
1-Nov-93,283.357
1-Dec-93,279.993
1-Jan-94,281.969
1-Feb-94,279.094
1-Mar-94,285.561
1-Apr-94,286.637
1-May-94,290.133
1-Jun-94,297.06
1-Jul-94,301.048
1-Aug-94,300.57
1-Sep-94,295.53
1-Oct-94,288.907
1-Nov-94,278.047
1-Dec-94,279.007
1-Jan-95,277.992
1-Feb-95,285.204
1-Mar-95,280.749
1-Apr-95,283.94
1-May-95,287.008
1-Jun-95,292.42
1-Jul-95,298.15
1-Aug-95,299.146
1-Sep-95,296.896
1-Oct-95,292.523
1-Nov-95,288.617
1-Dec-95,280.674
1-Jan-96,280.538
1-Feb-96,281.012
1-Mar-96,284.141
1-Apr-96,287.237
1-May-96,289.77
1-Jun-96,296.285
1-Jul-96,300.943
1-Aug-96,300.553
1-Sep-96,295.13
1-Oct-96,288.59
1-Nov-96,283.686
1-Dec-96,279.768
1-Jan-97,279.46
1-Feb-97,281.237
1-Mar-97,286.814
1-Apr-97,286.171
1-May-97,293.724
1-Jun-97,293.642
1-Jul-97,298.776
1-Aug-97,298.904
1-Sep-97,295.689
1-Oct-97,289.05
1-Nov-97,283.126
1-Dec-97,278.992
1-Jan-98,279.112
1-Feb-98,277.162
1-Mar-98,282.306
1-Apr-98,283.448
1-May-98,284.1
1-Jun-98,291.589
1-Jul-98,299.414
1-Aug-98,300.875
1-Sep-98,293.745
1-Oct-98,287.667
1-Nov-98,281.821
1-Dec-98,280.108
1-Jan-99,280.965
1-Feb-99,280.237
1-Mar-99,281.485
1-Apr-99,283.575
1-May-99,290.205
1-Jun-99,294.577
1-Jul-99,298.342
1-Aug-99,297.214
1-Sep-99,297.46
1-Oct-99,293.488
1-Nov-99,285.985
1-Dec-99,282.085
1-Jan-00,279.722
1-Feb-00,280.099
1-Mar-00,283.799
1-Apr-00,288.144
1-May-00,291.128
1-Jun-00,297.608
1-Jul-00,298.499
1-Aug-00,299.025
1-Sep-00,295.416
1-Oct-00,287.686
1-Nov-00,281.481
1-Dec-00,282.925
1-Jan-01,279.156
1-Feb-01,278.037
1-Mar-01,285.366
1-Apr-01,283.974
1-May-01,295.678
1-Jun-01,296.801
1-Jul-01,298.564
1-Aug-01,300.81
1-Sep-01,297.357
1-Oct-01,292.651
1-Nov-01,283.283
1-Dec-01,278.109
1-Jan-02,278.991
1-Feb-02,283.78
1-Mar-02,282.569
1-Apr-02,286.384
1-May-02,290.787
1-Jun-02,297.204
1-Jul-02,301.193
1-Aug-02,299.193
1-Sep-02,296.32
1-Oct-02,289.943
1-Nov-02,285.108
1-Dec-02,278.539
1-Jan-03,284.597
1-Feb-03,280.108
1-Mar-03,284.089
1-Apr-03,281.216
1-May-03,290.793
1-Jun-03,297.044
1-Jul-03,301.383
1-Aug-03,298.402
1-Sep-03,298.09
1-Oct-03,293.568
1-Nov-03,280.781
1-Dec-03,278.735
1-Jan-04,279.683
1-Feb-04,278.575
1-Mar-04,288.177
1-Apr-04,287.747
1-May-04,291.35
1-Jun-04,296.448
1-Jul-04,299.884
1-Aug-04,299.201
1-Sep-04,295.641
1-Oct-04,287.132
1-Nov-04,281.813
1-Dec-04,280.75
1-Jan-05,278.994
1-Feb-05,280.517
1-Mar-05,283.389
1-Apr-05,284.471
1-May-05,289.554
1-Jun-05,292.63
1-Jul-05,301.446
1-Aug-05,299.76
1-Sep-05,293.726
1-Oct-05,289.439
1-Nov-05,284.852
1-Dec-05,280.947
1-Jan-06,279.421
1-Feb-06,282.049
1-Mar-06,277.529
1-Apr-06,284.083
1-May-06,291.713
1-Jun-06,297.285
1-Jul-06,300.948
1-Aug-06,298.704
1-Sep-06,296.103
1-Oct-06,288.698
1-Nov-06,283.644
1-Dec-06,280.479
1-Jan-07,279.439
1-Feb-07,280.211
1-Mar-07,286.993
1-Apr-07,286.702
1-May-07,292.329
1-Jun-07,296.295
1-Jul-07,300.491
1-Aug-07,299.665
1-Sep-07,293.378
1-Oct-07,288.151
1-Nov-07,286.243
1-Dec-07,278.185
1-Jan-08,277.145
1-Feb-08,281.337
1-Mar-08,283.294
1-Apr-08,286.043
1-May-08,290.187
1-Jun-08,296.765
1-Jul-08,300.143
1-Aug-08,300.1
1-Sep-08,297.459
1-Oct-08,290.363
1-Nov-08,285.677
1-Dec-08,278.876
1-Jan-09,282.549
1-Feb-09,279.308
1-Mar-09,282.096
1-Apr-09,285.717
1-May-09,293.401
1-Jun-09,293.255
1-Jul-09,300.67
1-Aug-09,298.605
1-Sep-09,297.488
1-Oct-09,288.072
1-Nov-09,284.361
1-Dec-09,278.165
1-Jan-10,279.976
1-Feb-10,280.496
1-Mar-10,282.497
1-Apr-10,283.113
1-May-10,286.406
1-Jun-10,294.795
1-Jul-10,300.181
1-Aug-10,298.144
1-Sep-10,297.057
1-Oct-10,288.377
1-Nov-10,282.012
1-Dec-10,279.89
1-Jan-11,280.926
1-Feb-11,278.904
1-Mar-11,280.66
1-Apr-11,284.193
1-May-11,286.73
1-Jun-11,292.824
1-Jul-11,298.142
1-Aug-11,299.204
1-Sep-11,297.675
1-Oct-11,290.262
1-Nov-11,282.134
1-Dec-11,280.573
1-Jan-12,282.541
1-Feb-12,281.055
1-Mar-12,282.04
1-Apr-12,286.929
1-May-12,292.139
1-Jun-12,295.843
1-Jul-12,299.842
1-Aug-12,301.71
1-Sep-12,298.689
1-Oct-12,291.554
1-Nov-12,285.314
1-Dec-12,279.02
1-Jan-13,279.269
1-Feb-13,280.671
1-Mar-13,285.619
1-Apr-13,288.323
1-May-13,291.329
1-Jun-13,297.619
1-Jul-13,301.325
1-Aug-13,298.43
1-Sep-13,294.851
1-Oct-13,289.529
1-Nov-13,285.245
1-Dec-13,280.985
1-Jan-14,284.917
1-Feb-14,282.315
1-Mar-14,284.544
1-Apr-14,287.924
1-May-14,291.621
1-Jun-14,297.339
1-Jul-14,300.9
1-Aug-14,298.237
1-Sep-14,296.385
1-Oct-14,292.391
1-Nov-14,285.205
1-Dec-14,279.924
1-Jan-15,283.807
1-Feb-15,285.687
1-Mar-15,287.538
1-Apr-15,287.017
1-May-15,288.862
1-Jun-15,298.292
1-Jul-15,297.664
1-Aug-15,299.556
1-Sep-15,296.722
1-Oct-15,291.139
1-Nov-15,281.162
1-Dec-15,278.063
1-Jan-16,279.011
1-Feb-16,285.019
1-Mar-16,283.48
1-Apr-16,287.115
1-May-16,289.621
1-Jun-16,297.518
1-Jul-16,300.148
1-Aug-16,300.024
1-Sep-16,295.574
1-Oct-16,288.231
1-Nov-16,284.7
1-Dec-16,279.968
1-Jan-17,277.383
1-Feb-17,279.266
1-Mar-17,284.567
1-Apr-17,285.171
1-May-17,291.201
1-Jun-17,296.965
1-Jul-17,301.217
1-Aug-17,300.072
1-Sep-17,294.046
1-Oct-17,291.055
1-Nov-17,284.399
1-Dec-17,284.26
1-Jan-18,282.596
1-Feb-18,281.062
1-Mar-18,280.965
1-Apr-18,286.882
1-May-18,290.371
1-Jun-18,297.165
1-Jul-18,301.317
1-Aug-18,299.572
1-Sep-18,296.624
1-Oct-18,289.123
1-Nov-18,285.255
1-Dec-18,279.931
1-Jan-19,280.863
1-Feb-19,275.581
1-Mar-19,280.877
1-Apr-19,287.729
1-May-19,287.286
1-Jun-19,296.004
1-Jul-19,298.618
1-Aug-19,299.817
1-Sep-19,294.463
1-Oct-19,289.233
1-Nov-19,286.357
1-Dec-19,278.76
