system:time_start,undefined
1-Jan-85,267.321
1-Feb-85,268.283
1-Mar-85,268.036
1-Apr-85,274.543
1-May-85,275.565
1-Jun-85,282.326
1-Jul-85,284.934
1-Aug-85,282.507
1-Sep-85,277.797
1-Oct-85,275.177
1-Nov-85,269.699
1-Dec-85,270.066
1-Jan-86,272.57
1-Feb-86,270.987
1-Mar-86,272.512
1-Apr-86,272.545
1-May-86,276.568
1-Jun-86,281.02
1-Jul-86,282.453
1-Aug-86,283.966
1-Sep-86,276.813
1-Oct-86,275.356
1-Nov-86,272.225
1-Dec-86,269.8
1-Jan-87,266.802
1-Feb-87,268.324
1-Mar-87,270.15
1-Apr-87,274.75
1-May-87,277.614
1-Jun-87,281.456
1-Jul-87,281.021
1-Aug-87,283.418
1-Sep-87,280.683
1-Oct-87,278.221
1-Nov-87,271.747
1-Dec-87,267.287
1-Jan-88,268.564
1-Feb-88,270.011
1-Mar-88,270.56
1-Apr-88,273.342
1-May-88,275.21
1-Jun-88,280.386
1-Jul-88,285.069
1-Aug-88,283.907
1-Sep-88,280.537
1-Oct-88,278.405
1-Nov-88,271.471
1-Dec-88,267.407
1-Jan-89,266.872
1-Feb-89,266.516
1-Mar-89,271.995
1-Apr-89,275.002
1-May-89,276.062
1-Jun-89,280.763
1-Jul-89,283.454
1-Aug-89,281.56
1-Sep-89,279.552
1-Oct-89,275.237
1-Nov-89,272.348
1-Dec-89,270.609
1-Jan-90,267.808
1-Feb-90,266.209
1-Mar-90,271.015
1-Apr-90,274.781
1-May-90,275.744
1-Jun-90,280.194
1-Jul-90,284.28
1-Aug-90,282.704
1-Sep-90,280.602
1-Oct-90,276.857
1-Nov-90,271.351
1-Dec-90,265.613
1-Jan-91,269.039
1-Feb-91,272.13
1-Mar-91,268.125
1-Apr-91,271.236
1-May-91,273.758
1-Jun-91,279.063
1-Jul-91,284.418
1-Aug-91,282.738
1-Sep-91,282.243
1-Oct-91,277.852
1-Nov-91,272.577
1-Dec-91,269.857
1-Jan-92,269.459
1-Feb-92,271.044
1-Mar-92,271.842
1-Apr-92,275.269
1-May-92,279.586
1-Jun-92,280.104
1-Jul-92,283.02
1-Aug-92,284.192
1-Sep-92,281.188
1-Oct-92,277.516
1-Nov-92,271.577
1-Dec-92,266.911
1-Jan-93,267.497
1-Feb-93,268.116
1-Mar-93,272.994
1-Apr-93,272.61
1-May-93,276.688
1-Jun-93,279.267
1-Jul-93,281.791
1-Aug-93,282.066
1-Sep-93,280.244
1-Oct-93,276.826
1-Nov-93,271.083
1-Dec-93,268.979
1-Jan-94,269.709
1-Feb-94,267.965
1-Mar-94,272.255
1-Apr-94,273.448
1-May-94,276.992
1-Jun-94,280.979
1-Jul-94,284.749
1-Aug-94,283.844
1-Sep-94,280.014
1-Oct-94,274.968
1-Nov-94,267.721
1-Dec-94,268.543
1-Jan-95,270.696
1-Feb-95,271.461
1-Mar-95,270.292
1-Apr-95,271.572
1-May-95,275.264
1-Jun-95,278.389
1-Jul-95,282.767
1-Aug-95,283.097
1-Sep-95,280.931
1-Oct-95,277.18
1-Nov-95,274.963
1-Dec-95,270.654
1-Jan-96,270.307
1-Feb-96,270.532
1-Mar-96,270.879
1-Apr-96,273.216
1-May-96,276.57
1-Jun-96,281.051
1-Jul-96,285.433
1-Aug-96,284.37
1-Sep-96,279.548
1-Oct-96,275.099
1-Nov-96,272.433
1-Dec-96,271.386
1-Jan-97,269.346
1-Feb-97,268.481
1-Mar-97,272.333
1-Apr-97,272.911
1-May-97,278.981
1-Jun-97,280.022
1-Jul-97,283.104
1-Aug-97,283.263
1-Sep-97,281.183
1-Oct-97,275.093
1-Nov-97,272.637
1-Dec-97,268.253
1-Jan-98,269.789
1-Feb-98,268.388
1-Mar-98,270.209
1-Apr-98,271.087
1-May-98,272.922
1-Jun-98,278.567
1-Jul-98,283.678
1-Aug-98,284.364
1-Sep-98,280.545
1-Oct-98,274.491
