system:time_start,undefined
1-Jan-85,0.386
1-Feb-85,0.499
1-Mar-85,0.374
1-Apr-85,0.826
1-May-85,0.809
1-Jun-85,1.54
1-Jul-85,1.735
1-Aug-85,1.584
1-Sep-85,0.838
1-Oct-85,0.817
1-Nov-85,0.363
1-Dec-85,0.475
1-Jan-86,0.509
1-Feb-86,0.352
1-Mar-86,0.528
1-Apr-86,0.555
1-May-86,0.95
1-Jun-86,1.281
1-Jul-86,1.398
1-Aug-86,1.753
1-Sep-86,0.9
1-Oct-86,0.767
1-Nov-86,0.656
1-Dec-86,0.417
1-Jan-87,0.349
1-Feb-87,0.39
1-Mar-87,0.406
1-Apr-87,0.872
1-May-87,0.794
1-Jun-87,1.332
1-Jul-87,1.363
1-Aug-87,1.738
1-Sep-87,1.483
1-Oct-87,1.032
1-Nov-87,0.358
1-Dec-87,0.236
1-Jan-88,0.354
1-Feb-88,0.597
1-Mar-88,0.646
1-Apr-88,0.591
1-May-88,0.833
1-Jun-88,1.167
1-Jul-88,1.821
1-Aug-88,1.661
1-Sep-88,1.56
1-Oct-88,1.221
1-Nov-88,0.391
1-Dec-88,0.372
1-Jan-89,0.38
1-Feb-89,0.332
1-Mar-89,0.466
1-Apr-89,0.848
1-May-89,0.79
1-Jun-89,1.142
1-Jul-89,1.775
1-Aug-89,1.372
1-Sep-89,1.18
1-Oct-89,0.806
1-Nov-89,0.703
1-Dec-89,0.642
1-Jan-90,0.392
1-Feb-90,0.396
1-Mar-90,0.54
1-Apr-90,0.621
1-May-90,0.734
1-Jun-90,1.225
1-Jul-90,1.578
1-Aug-90,1.413
1-Sep-90,1.261
1-Oct-90,1.085
1-Nov-90,0.671
1-Dec-90,0.443
1-Jan-91,0.506
1-Feb-91,0.649
1-Mar-91,0.258
1-Apr-91,0.53
1-May-91,0.616
1-Jun-91,1.088
1-Jul-91,1.634
1-Aug-91,1.411
1-Sep-91,1.549
1-Oct-91,1.229
1-Nov-91,0.593
1-Dec-91,0.456
1-Jan-92,0.469
1-Feb-92,0.327
1-Mar-92,0.362
1-Apr-92,0.747
1-May-92,1.102
1-Jun-92,0.969
1-Jul-92,1.307
1-Aug-92,1.728
1-Sep-92,1.479
1-Oct-92,0.894
1-Nov-92,0.559
1-Dec-92,0.283
1-Jan-93,0.273
1-Feb-93,0.215
1-Mar-93,0.446
1-Apr-93,0.553
1-May-93,0.691
1-Jun-93,1.05
1-Jul-93,1.383
1-Aug-93,1.341
